Name,Score,Language,Domain,has_issue_headings,has_issue_regions,has_issue_image,has_issue_anchor,has_issue_table,has_issue_form,has_issue_lang,has_issue_title
University of Oxford,78,en,.ac.uk/,False,False,True,False,False,False,False,False
Stanford University,44,en,.edu/,False,False,True,False,False,False,False,False
Harvard University,84,en,.edu/,False,False,True,False,False,False,False,False
Massachusetts Institute of Technology,98,en,.mit.edu/,False,False,True,True,False,False,False,False
University of Cambridge,54,en,.ac.uk/,False,False,True,False,False,False,False,False
University of California,72,en,.edu/,False,False,True,True,False,True,False,False
Princeton University,80,en,.edu/,False,False,True,False,False,False,False,False
The University of Chicago,58,en,.edu/,False,False,True,True,False,False,False,False
Imperial College London,58,en,.ac.uk/,False,False,True,True,False,False,False,False
Johns Hopkins University,51,en,.jhu.edu/,False,True,True,False,False,True,False,False
ETH Zürich,93,de,.ch/,False,False,True,False,False,False,False,False
London's Global University,43,en,.ac.uk/,False,False,True,True,False,True,False,False
Duke University,83,en,.edu/,False,False,True,False,False,False,False,False
Peking University,0,,.edu.cn/,False,False,True,True,True,True,True,False
The University of Edinburgh,95,en,.ac.uk/,False,False,True,False,False,True,False,False
LMU München,96,de,.lmu.de/,False,False,True,True,False,True,False,False
Karolinska Institutet,98,sv,.se/,False,False,True,False,False,False,False,False
The University of Hong Kong (HKU),70,en,.hku.hk/,False,False,True,False,False,False,False,False
The Entrepreneurial University,76,de,.tum.de/,False,False,True,True,False,True,False,False
KU Leuven,88,nl,.be/,False,False,True,True,False,True,False,False
The University of Sydney,73,en,.edu.au/,False,False,True,True,False,True,False,False
Universiteit Leiden,89,nl,.nl/,False,False,True,False,False,True,False,False
Humboldt-Universität zu Berlin,69,de,.de/,False,True,True,False,False,True,False,False
The Ohio State University,73,en,.osu.edu/,False,False,True,True,False,False,False,False
Albert-Ludwigs-Universität Freiburg,13,de,.de/,False,False,True,True,False,False,False,False
Københavns Universitet,33,da,.ku.dk/,False,False,True,True,False,True,False,False
École polytechnique,67,fr,.edu/,False,False,True,True,False,False,False,False
Sorbonne Université,0,fr,.fr/,False,False,True,False,False,True,False,False
Universität Basel,91,de,.ch/,False,False,True,True,False,False,False,False
University of Glasgow,88,en,.ac.uk/,False,False,True,True,False,True,False,False
Helsingin yliopisto,100,fi,.fi/,False,False,False,False,False,False,False,False
Monash University,71,en,.edu/,False,False,True,True,False,True,False,False
Brown University,87,en,.edu/,False,False,True,False,False,True,False,False
Universiteit Gent,95,nl,.be/,False,False,True,True,True,False,False,False
Lunds universitet,60,sv,.lu.se/,False,False,True,False,False,True,False,False
Michigan State University,70,en,.edu/,False,False,True,False,False,True,False,False
Aarhus Universitet,53,da,.au.dk/,False,False,True,False,False,True,False,False
RWTH AACHEN UNIVERSITY - Rheinisch-Westfaelische Technische Hochschule - Deutsch,74,de,.de/,False,True,False,True,False,True,False,False
Queen Mary University of London,65,en,.ac.uk/,False,False,True,True,False,True,False,False
Uppsala universitet,77,sv,.uu.se/,False,False,True,True,False,True,False,False
Universität Bonn,99,de,.de/,False,False,False,False,False,True,False,False
